country,country_code,year,adult_pop,region,income_group,percent_with_fin_account,percent_with_fin_account_formal,percent_with_mobile_account,account_female,account_male,account_poor40,account_rich60,account_prim_less,account_sec_more,gdp_per_capita,region_geo
Morocco,MAR,2024,27893979.0,Middle East & North Africa (excluding high income),Lower middle income,0.443863291,0.424611317,0.058756973,34.6828902547469,54.6311625939388,41.2388909006007,46.4830016125998,38.9193875691187,54.5208300275563,4153.1943359375,"Middle East, North Africa, Afghanistan & Pakistan"
Mozambique,MOZ,2024,18581790.0,Sub-Saharan Africa (excluding high income),Low income,0.543852875,0.250840349,0.45720986,45.4883633087181,63.3549962118332,35.307869498617,67.0790731001974,45.6654822603826,81.765569501637,656.776824637306,Sub-Saharan Africa 
Namibia,NAM,2024,1858089.0,Sub-Saharan Africa (excluding high income),Upper middle income,0.729187673,0.626974954,0.484473581,75.0382248106692,70.659277654642,59.9327543605384,81.5282445797459,64.6481060578176,77.8438200603319,4413.12752211572,Sub-Saharan Africa 
Nepal,NPL,2024,21168213.0,South Asia (excluding high income),Lower middle income,0.599911157,0.575256881,0.105834365,59.7778342772083,60.2270903422122,53.0095282322869,64.6403454077327,57.0633060524272,68.7669106284418,1447.31004458428,South Asia
Netherlands,NLD,2024,15164931.0,High income,High income,0.991715123,0.991715123,,99.2546198217458,99.0871076242509,98.2593267814023,99.7758337380223,95.8856565393996,99.4828752071692,67520.4218956281,Europe & Central Asia
New Zealand,NZL,2024,4263369.0,High income,High income,0.978647564,0.978647564,,98.5351611403082,97.163339063554,96.8077986231673,98.566561701393,96.492125506117,98.8001268108958,49205.1792146792,East Asia & Pacific
Nicaragua,NIC,2024,4830854.0,Latin America & Caribbean (excluding high income),Lower middle income,0.234705927,0.215052816,0.080878133,21.2320804665929,25.9574488414034,19.5936528210773,26.0566214546751,13.2708967899659,33.4624506860196,2847.53966339498,Latin America & Caribbean 
Niger,NER,2024,13873697.0,Sub-Saharan Africa (excluding high income),Low income,0.148268992,0.126669936,0.057003706,12.2030464030006,17.6139562058255,17.5059704418951,13.0527270463925,13.5414073423134,36.4873333394023,735.270255787226,Sub-Saharan Africa 
Nigeria,NGA,2024,133329232.0,Sub-Saharan Africa (excluding high income),Lower middle income,0.632613514,0.597277056,0.327907521,52.2155914465012,74.302879584059,46.7443880832654,74.2769862838096,42.1862354000244,79.6714034471371,1084.16041805436,Sub-Saharan Africa 
North Macedonia,MKD,2024,1515847.0,Europe & Central Asia (excluding high income),Upper middle income,0.842548649,0.842548649,,77.229493719316,91.5870835011346,78.3945632616455,88.1502620263479,65.6133114409021,93.7862973251623,9291.85661671864,Europe & Central Asia
Norway,NOR,2024,4608487.0,High income,High income,0.985561571,0.985561571,,97.8239340560655,99.2709876923463,97.7236874330182,99.1120206688754,97.3865938607033,98.8286252319689,86785.4334489176,Europe & Central Asia
Oman,OMN,2024,3775451.0,High income,High income,0.695361597,0.695361597,,67.0832725695516,70.7083967351425,67.4150180357039,70.9499196515117,54.7541406202193,74.8711818822968,20285.2272897377,"Middle East, North Africa, Afghanistan & Pakistan"
Pakistan,PAK,2024,155833628.0,South Asia (excluding high income),Lower middle income,0.272960072,0.18281262,0.183578643,11.9121696598431,42.2935435576169,13.6062537929128,36.4061624872429,18.9106980665209,46.6859995768197,1478.77277977996,"Middle East, North Africa, Afghanistan & Pakistan"
Panama,PAN,2024,3331755.0,High income,High income,0.640952131,0.608679812,0.380533533,58.1187550543733,70.391512048608,45.4815775753491,76.5155782281593,41.8878748138697,70.3648328627176,19161.2188501596,Latin America & Caribbean 
Paraguay,PRY,2024,4874331.0,Latin America & Caribbean (excluding high income),Upper middle income,0.60916761,0.455472583,0.359483793,60.1097092799532,61.7674730808885,50.0776335460214,68.1355834321901,48.1488589431053,69.8155485323729,6416.09708970845,Latin America & Caribbean 
Peru,PER,2024,25601447.0,Latin America & Caribbean (excluding high income),Upper middle income,0.593098978,0.498244622,0.42497337,56.1785669335632,62.4782758669515,44.6241136416496,69.0577748657614,29.636960601098,66.5090547558496,8452.37167056621,Latin America & Caribbean 
Philippines,PHL,2024,82023644.0,East Asia & Pacific (excluding high income),Lower middle income,0.501824221,0.335357459,0.288000006,57.1016109576105,43.0424000013443,34.4399006408424,60.6849094992164,33.6218005767594,57.9031088518301,3984.8315387656,East Asia & Pacific
Poland,POL,2024,31148749.0,High income,High income,0.861367118,0.861367118,,86.3296733689659,85.9243017950635,80.0821560050964,90.1625577495388,51.0695031242376,92.2050592633483,25103.565661423,Europe & Central Asia
Portugal,PRT,2024,9214262.0,High income,High income,0.913973441,0.913973441,,88.166050754656,94.7574332041775,87.698375834765,93.8593786305053,80.9267698148588,95.3972857756561,29292.242104753,Europe & Central Asia
Romania,ROU,2024,16033507.0,High income,High income,0.713366719,0.713366719,,69.8503015757801,72.9467014858712,55.4182775439009,81.9551402457898,41.029929138885,80.2727804814187,20080.2096215595,Europe & Central Asia
